"grid","year","effort","catch.kg","depth","swept.area.km2","grid.area.km2"
"558",2000,1,0,477.189,5.0004,559.301171182358
"558",2000,1,0,458.656,0.86118,559.301171182358
"558",2000,1,0,382.097,7.7784,559.301171182358
"558",2000,1,0,468.749,10.05636,559.301171182358
"558",2000,1,0,344.649,8.334,559.301171182358
"558",2000,1,0,504.446,8.334,559.301171182358
"558",2000,1,0,519.931,3.3336,559.301171182358
"558",2000,1,0,392.868,10.50084,559.301171182358
"558",2000,1,0,435.704,4.41702,559.301171182358
"558",2000,1,0,452.782,10.6953,559.301171182358
"558",2000,1,0,344.649,2.55576,559.301171182358
"558",2000,1,0,379.553,3.7503,559.301171182358
"558",2000,1,0,417.783,8.0562,559.301171182358
"558",2000,1,0,435.704,4.59296,559.301171182358
"558",2000,1,0,417.783,10.6953,559.301171182358
"558",2000,1,0,465.875,6.2505,559.301171182358
"558",2000,1,0,492.029,5.1393,559.301171182358
"558",2000,1,0,458.656,4.05588,559.301171182358
"558",2000,1,0,492.53,9.11184,559.301171182358
"558",2000,1,35,547.745,3.55584,559.301171182358
"558",2000,1,0,417.783,11.13978,559.301171182358
"558",2000,1,0,492.029,4.8615,559.301171182358
"558",2000,1,0,344.649,10.4175,559.301171182358
"559",2000,1,10,568.504,8.16732,559.301171182358
"559",2000,1,0,525.725,8.334,559.301171182358
"559",2000,1,0,418.585,8.63958,559.301171182358
"559",2000,1,0,506.618,6.6672,559.301171182358
"559",2000,1,0,520.17,7.7784,559.301171182358
"559",2000,1,0,501.287,12.02874,559.301171182358
"559",2000,1,28,520.998,6.1116,559.301171182358
"559",2000,1,0,501.287,11.05644,559.301171182358
"559",2000,1,0,516.424,7.6395,559.301171182358
"559",2000,1,0,519.931,11.83428,559.301171182358
"559",2000,1,57,534.378,10.0008,559.301171182358
"559",2000,1,0,530.242,10.0008,559.301171182358
"559",2000,1,0,508.082,7.11168,559.301171182358
"559",2000,1,0,516.424,4.83372,559.301171182358
"559",2000,1,0,530.242,2.27796,559.301171182358
"559",2000,1,4,525.725,7.11168,559.301171182358
"559",2000,1,150,533.787,7.75062,559.301171182358
"559",2000,1,0,520.17,3.7503,559.301171182358
"559",2000,1,0,559.244,4.3059,559.301171182358
"559",2000,1,35,520.998,8.55624,559.301171182358
"559",2000,1,0,547.745,6.69498,559.301171182358
"559",2000,1,0,505.365,6.75054,559.301171182358
"559",2000,1,43,515.482,11.8065,559.301171182358
"559",2000,1,0,508.082,10.0008,559.301171182358
"559",2000,1,0,501.287,7.5006,559.301171182358
"559",2000,1,0,578.422,7.6395,559.301171182358
"559",2000,1,0,529.967,8.0562,559.301171182358
"559",2000,1,0,465.875,8.0562,559.301171182358
"559",2000,1,0,522.526,7.3617,559.301171182358
"559",2000,1,0,468.749,7.7784,559.301171182358
"559",2000,1,0,506.618,10.52862,559.301171182358
"559",2000,1,0,516.424,8.8896,559.301171182358
"559",2000,1,0,498.922,6.63942,559.301171182358
"559",2000,1,0,584.921,11.6676,559.301171182358
